id,datenstand,resolution
2631_1159,"2021","25"
2631_1160,"2021","25"
2631_1161,"2021","25"
2631_1162,"2021","25"
2631_1163,"2021","25"
2631_1164,"2021","10"
2631_1165,"2021","10"
2631_1166,"2021","10"
2631_1167,"2021","10"
2631_1168,"2021","10"
2631_1169,"2021","10"
2631_1170,"2021","10"
2631_1171,"2021","10"
2631_1172,"2021","10"
2631_1173,"2021","10"
2631_1174,"2021","10"
2631_1175,"2021","10"
2631_1176,"2021","10"
2631_1177,"2021","10"
2631_1178,"2021","10"
2631_1179,"2021","10"
2631_1180,"2021","10"
2631_1181,"2021","10"
2631_1182,"2021","10"
2631_1183,"2021","10"
2631_1184,"2021","10"
2631_1185,"2021","10"
2631_1186,"2021","10"
2631_1187,"2021","10"
2631_1188,"2021","10"
2631_1189,"2021","10"
2631_1190,"2021","10"
2631_1191,"2021","10"
2631_1192,"2021","10"
2631_1193,"2021","10"
2631_1194,"2021","10"
2631_1195,"2021","10"
2631_1196,"2021","10"
2631_1197,"2021","10"
2631_1198,"2021","10"
2631_1199,"2021","10"
2631_1200,"2021","10"
2631_1201,"2021","10"
2631_1202,"2021","10"
2631_1203,"2021","10"
2631_1204,"2021","10"
2631_1205,"2021","10"
2631_1206,"2021","10"
2632_1157,"2021","25"
2632_1158,"2021","25"
2632_1159,"2021","25"
2632_1160,"2021","25"
2632_1161,"2021","25"
2632_1162,"2021","25"
2632_1163,"2021","25"
2632_1164,"2021","10"
2632_1165,"2021","10"
2632_1166,"2021","10"
2632_1167,"2021","10"
2632_1168,"2021","10"
